Step,Total Reward
0,0
5,4
10,10
15,16
20,22
25,26
30,32
35,36
40,40
45,44
50,48
55,54
60,60
65,62
70,68
75,72
80,76
85,82
90,88
95,92
100,98
105,102
110,106
115,110
120,114
125,120
130,126
135,130
140,136
145,140
150,146
155,150
160,154
165,158
170,164
175,168
180,172
185,178
190,182
195,186
200,192
205,198
210,202
215,208
220,212
225,218
230,224
235,228
240,234
245,238
250,244
255,250
260,256
265,260
270,266
275,270
280,276
285,280
290,286
295,292
